Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.20.20.10-10.20.20.30-20-80-6,10.20.20.10,20,10.20.20.30,80,6,13/04/2024 05:15:16 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.20.20.10-10.20.20.30-20-80-6,10.20.20.10,20,10.20.20.30,80,6,13/04/2024 05:15:16 PM,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,20,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.20.20.10-10.20.20.30-20-80-6,10.20.20.10,20,10.20.20.30,80,6,13/04/2024 05:15:16 PM,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,20,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.20.20.10-10.20.20.30-20-80-6,10.20.20.10,20,10.20.20.30,80,6,13/04/2024 05:15:16 PM,472,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4237.28813559322,472.0,0.0,472.0,472.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,20,2118.64406779661,2118.64406779661,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.20.20.10-10.20.20.30-20-80-6,10.20.20.10,20,10.20.20.30,80,6,13/04/2024 05:15:16 PM,556,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3597.1223021582737,556.0,0.0,556.0,556.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,20,1798.5611510791368,1798.5611510791368,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.20.20.10-10.20.20.30-20-80-6,10.20.20.10,20,10.20.20.30,80,6,13/04/2024 05:15:16 PM,630,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3174.6031746031745,630.0,0.0,630.0,630.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,20,1587.3015873015872,1587.3015873015872,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.20.20.10-10.20.20.30-20-80-6,10.20.20.10,20,10.20.20.30,80,6,13/04/2024 05:15:16 PM,504,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3968.253968253968,504.0,0.0,504.0,504.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,20,1984.126984126984,1984.126984126984,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.20.20.10-10.20.20.30-20-80-6,10.20.20.10,20,10.20.20.30,80,6,13/04/2024 05:15:16 PM,592,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3378.3783783783783,592.0,0.0,592.0,592.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,20,1689.1891891891892,1689.1891891891892,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.20.20.10-10.20.20.30-20-80-6,10.20.20.10,20,10.20.20.30,80,6,13/04/2024 05:15:16 PM,541,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3696.857670979667,541.0,0.0,541.0,541.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,20,1848.4288354898335,1848.4288354898335,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.20.20.10-10.20.20.30-20-80-6,10.20.20.10,20,10.20.20.30,80,6,13/04/2024 05:15:16 PM,555,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.6036036036035,555.0,0.0,555.0,555.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,20,1801.8018018018017,1801.8018018018017,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
